date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:28	415/415	---M--	300	error ('Multiple%20Choices')	text/html	date:Sat,%2017%20Sep%202016%2010:20:27%20GMT	http://www.hihayk.com/robots.txt		(from )
15:50:28	10296/10296	---MCZ	200	added ('OK')	text/html	etag:W/%22c053eada-2838-538f83fe54bcb%22	http://www.hihayk.com/	C:/My%20Web%20Sites/webs/www.hihayk.com/index.html	(from )
15:50:30	50118/50118	---M--	200	added ('OK')	text/css	etag:%22c053eae5-c3c6-51b41853c094b%22	http://www.hihayk.com/css/main.css	C:/My%20Web%20Sites/webs/www.hihayk.com/css/main.css	(from http://www.hihayk.com/)
15:50:31	38326/38326	---M--	200	added ('OK')	application/x-javascript	etag:%224416f94d-95b6-51b41e55666d2%22	http://www.hihayk.com/public/js/js.js	C:/My%20Web%20Sites/webs/www.hihayk.com/public/js/js.js	(from http://www.hihayk.com/)
15:50:32	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%2243a9c726-3aee-51b4091a4859f%22	http://www.hihayk.com/assets/images/favicon.ico	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/images/favicon.ico	(from http://www.hihayk.com/)
15:50:32	41095/41095	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202015%2020:11:25%20GMT	http://cdnjs.cloudflare.com/ajax/libs/jquery.form/3.32/jquery.form.js	C:/My%20Web%20Sites/webs/cdnjs.cloudflare.com/ajax/libs/jquery.form/3.32/jquery.form.js	(from http://www.hihayk.com/)
15:50:33	903/903	---M--	200	added ('OK')	image/svg+xml	etag:%2243a9c71e-387-51b409171ec12%22	http://www.hihayk.com/assets/images/back.svg	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/images/back.svg	(from http://www.hihayk.com/)
15:50:33	21068/21068	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202015%2020:11:24%20GMT	http://cdnjs.cloudflare.com/ajax/libs/jquery-validate/1.11.1/jquery.validate.min.js	C:/My%20Web%20Sites/webs/cdnjs.cloudflare.com/ajax/libs/jquery-validate/1.11.1/jquery.validate.min.js	(from http://www.hihayk.com/)
15:50:34	10299/10299	---MCZ	200	added ('OK')	text/html	etag:W/%22c053eafa-283b-53067cf10c016%22	http://www.hihayk.com/common-sporting.html	C:/My%20Web%20Sites/webs/www.hihayk.com/common-sporting.html	(from http://www.hihayk.com/)
15:50:35	11347/11347	---MCZ	200	added ('OK')	text/html	etag:W/%22c23d9358-2c53-538f88f67a84b%22	http://www.hihayk.com/quipu.html	C:/My%20Web%20Sites/webs/www.hihayk.com/quipu.html	(from http://www.hihayk.com/)
15:50:35	27809/27809	---MC-	200	added ('OK')	text/javascript	date:Mon,%2015%20Aug%202016%2004:25:11%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/webs/www.google-analytics.com/analytics.js	(from http://www.hihayk.com/)
15:50:35	4891/4891	---M--	200	added ('OK')	image/png	etag:%22c0878104-131b-51b40a209bde2%22	http://www.hihayk.com/assets/images/projects/cs-lk.png	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/images/projects/cs-lk.png	(from http://www.hihayk.com/)
15:50:35	1746/1746	---M--	200	added ('OK')	image/png	etag:%22c05492d4-6d2-51b40a5df95db%22	http://www.hihayk.com/assets/images/projects/quipu-lk.png	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/images/projects/quipu-lk.png	(from http://www.hihayk.com/)
15:50:36	10167/10167	---MCZ	200	added ('OK')	text/html	etag:W/%22c0541da7-27b7-53067ce8f69d7%22	http://www.hihayk.com/book-cover.html	C:/My%20Web%20Sites/webs/www.hihayk.com/book-cover.html	(from http://www.hihayk.com/)
15:50:36	3886/3886	---M--	200	added ('OK')	image/png	etag:%22c07ffc4b-f2e-51b40a0968386%22	http://www.hihayk.com/assets/images/projects/book-lk.png	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/images/projects/book-lk.png	(from http://www.hihayk.com/)
15:50:36	9946/9946	---MCZ	200	added ('OK')	text/html	etag:W/%22c23d045b-26da-53067cdb0a116%22	http://www.hihayk.com/converter.html	C:/My%20Web%20Sites/webs/www.hihayk.com/converter.html	(from http://www.hihayk.com/)
